Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1901,126.841,122.323,165.124,160.471,110.058,64.4057,61.8672,87.0065,120.009,165.287,179.613,146.843
 1902,122.726,118.876,162.906,158.428,108.527,63.8065,64.2308,91.3926,138.28,178.861,179.045,156.24
 1903,129.207,117.508,164.728,164.847,107.324,83.9646,71.286,85.2506,137.423,190.789,179.172,141.655
 1904,125.392,124.485,166.591,146.688,112.81,57.7436,57.8159,93.962,114.298,169.029,175.729,154.358
 1905,128.292,120.828,165.394,146.136,103.445,58.9164,57.5692,92.746,128.653,166.643,181.778,164.459
 1906,123.901,126.842,172.316,167.617,106.508,56.8203,61.21,93.3297,116.088,170.58,170.739,135.982
 1907,114.527,149.076,143.649,173.588,120.428,62.6037,58.766,95.1579,114.076,165.315,179.403,138.267
 1908,118.955,119.523,136.42,153.483,107.822,46.0725,61.6116,93.0445,119.368,166.767,150.613,141.923
 1909,117.261,122.401,150.86,182.614,107.822,51.2588,57.6912,98.1579,163.588,158.837,175.382,150.585
 1910,132.87,120.986,139.572,151.632,116.765,65.2275,88.2247,87.7672,112.609,157.79,177.554,157.849
 1911,106.581,139.544,153.258,132.498,114.978,58.6069,61.2102,77.7527,129.034,170.302,184.863,154.362
 1912,124.2,146.171,150.582,150.629,117.692,42.7378,53.5882,77.1671,141.331,142.267,189.515,143.777
 1913,112.547,125.272,151.409,147.159,116.457,64.277,41.9143,61.6429,76.8078,170.292,123.516,105.001
 1914,122.867,127.381,175.701,159.119,105.891,71.0004,69.5634,84.4338,135.147,191.387,175.088,136.896
 1915,106.947,111.75,144.708,132.384,94.5075,68.8295,32.2179,71.1713,162.257,130.06,152.328,185.326
 1916,117.462,128.931,147.507,162.163,119.663,61.1153,39.1353,80.2863,134.768,168.023,182.174,183.193
 1917,162.382,151.935,150.83,167.087,122.618,60.3961,35.3733,94.8387,136.052,183.843,125.702,130.971
 1918,84.167,100.398,177.193,147.011,89.8059,65.1983,59.4953,86.5312,118.5,141.552,163.332,188.595
 1919,184.686,152.03,149.094,125.143,91.8421,97.9867,85.1987,117.611,95.4691,143.092,183.802,163.643
 1920,112.953,109.591,166.771,126.123,145.91,67.2442,70.3255,53.8227,109.92,163.532,156.497,158.404
 1921,114.887,105.009,136.688,161.998,102.819,56.0589,59.4372,80.9979,106.539,147.788,134.743,124.847
 1922,122.768,123.436,151.178,133.734,125.179,67.1427,58.2402,99.1557,125.274,177.43,156.225,164.704
 1923,124.72,124.766,167.056,186.669,103.913,49.8882,75.5042,81.9602,138.326,155.795,173.59,180.041
 1924,137.458,121.061,157.711,157.43,75.7167,52.8479,39.6825,108.741,113.704,202.003,163.862,150.18
 1925,96.865,132.199,167.427,162.386,122.701,64.3607,68.1986,93.428,129.331,168.918,209.217,178.575
 1926,112.804,145.675,179.895,150.893,106.487,60.8265,99.1651,118.151,147.883,171.309,155.8,141.865
 1927,95.4226,112.896,193.49,141.03,140.994,52.4019,55.1782,85.0805,114.269,160.724,157.284,161.003
 1928,131.096,118.185,152.174,172.623,120.272,80.9311,54.9631,75.7571,132.813,128.426,133.781,122.09
 1929,133.674,112.27,147.024,154.349,86.9263,63.8507,71.009,102.927,115.157,193.554,165.571,158.407
 1930,113.795,118.274,211.094,213.418,86.1836,75.1732,45.5728,87.4764,119.535,154.206,131.556,118.738
 1931,154.372,110.882,157.427,162.464,102.603,56.934,60.2126,84.796,109.166,133.805,174.889,175.024
 1932,105.241,94.6821,171.757,142.33,132.577,65.2225,56.9593,83.4311,150.972,152.634,171.668,150.425
 1933,149.927,136.571,179.076,117.855,99.4713,54.2266,63.445,95.5135,109.38,134.395,162.466,175.085
 1934,118.552,105.063,143.713,145.416,88.4297,70.2259,60.1612,100.074,116.585,176.875,171.29,164.429
 1935,99.5019,145.67,161.389,168.772,149.314,72.1533,47.318,80.6025,97.2127,147.916,166.926,156.266
 1936,133.134,133.868,172.952,146.131,104.451,70.8558,65.7903,98.1974,156.141,156.379,148.99,173.523
 1937,126.536,145.66,164.15,191.086,102.82,63.4691,66.8695,66.6215,126.214,176.503,168.942,157.107
 1938,100.703,128.064,156.364,164.906,106.271,57.1649,81.1248,85.8165,116.231,176.195,154.662,157.029
 1939,138.913,144.896,163.357,164.958,102.651,58.8155,58.4628,83.2356,143.487,156.95,195.294,166.134
 1940,156.757,153.281,162.56,183.726,103.426,50.2744,66.6294,81.9893,108.523,186.705,180.451,130.154
 1941,100.899,136.915,158.31,137.815,117.789,69.0444,59.4323,110.548,96.7122,188.033,204.166,165.363
 1942,126.845,105.795,196.658,162.967,120.772,56.7091,55.2475,124.19,98.6613,175.93,145.382,149.836
 1943,131.16,99.9037,148.925,152.847,145.47,71.5622,54.9486,107.865,101.412,109.778,151.531,158.916
 1944,151.275,92.8002,200.146,158.305,116.417,47.7075,66.3715,98.775,124.032,173.555,178.691,149.035
 1945,141.765,106.286,152.855,147.217,142.972,55.9838,66.2708,93.1776,142.67,156.239,168.051,145.522
