Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1901,36.204,48.3746,108.102,111.845,78.2751,144.698,131.25,118.527,131.572,69.4149,70.3658,94.928
 1902,65.6375,83.6761,94.8708,51.6798,141.514,134.824,145.544,109.224,77.7862,107.822,14.1983,101.296
 1903,74.8783,37.6317,47.7741,121.189,65.9895,107.73,205.546,137.284,110.136,140.369,135.27,85.9161
 1904,25.1648,110.569,81.9327,99.3139,110.697,126.733,72.1394,122.821,153.584,123.792,99.5032,87.2584
 1905,67.6666,85.4283,89.3904,88.1995,103.077,89.3492,101.825,188.648,79.1652,117.798,167.636,27.3427
 1906,55.5319,74.0868,99.6324,85.257,104.368,149.247,178.053,104.524,148.391,53.6266,118.436,104.573
 1907,90.8106,36.2331,75.429,152.983,92.9452,105.768,162.387,116.284,70.6315,116.657,36.2416,100.359
 1908,30.9723,73.7058,51.19,135.698,85.3843,102.198,116.418,145.622,81.4552,21.171,42.5828,48.3738
 1909,42.9144,97.504,91.9407,60.0375,91.7203,129.7,149.699,169.315,109.594,82.225,62.2518,124.217
 1910,136.202,92.7118,42.2551,112.15,147.521,194.238,169.762,157.545,116.585,56.0941,158.08,72.581
 1911,31.3365,51.653,75.7854,73.3887,132.929,133.221,56.8008,86.6225,99.1681,111.048,71.135,117.793
 1912,67.1339,65.6803,100.05,83.0192,153.649,124.267,152.053,151.873,158.881,113.663,79.6307,37.7714
 1913,57.8547,19.8326,56.6612,74.276,93.9357,139.663,194.726,135.001,137.639,56.969,168.936,110.303
 1914,59.5791,35.5435,124.94,73.4914,160.446,113.523,241.241,87.1131,128.199,71.7618,50.3411,79.5625
 1915,133.51,80.2862,93.7232,68.6431,68.6607,121.255,183.524,147.003,98.454,124.792,88.0359,82.7022
 1916,81.8121,97.8042,106.305,129.982,83.301,153.383,153.796,119.575,181.891,68.9977,123.605,130.453
 1917,127.646,21.3227,82.3877,132.095,40.8233,59.0758,125.159,123.662,54.8483,179.322,77.901,63.8639
 1918,34.9171,42.6934,46.3438,91.832,76.6137,171.426,166.214,169.165,123.749,115.575,35.1775,157.126
 1919,97.1874,39.6215,71.7756,134.898,78.9176,152.007,165.936,88.6622,81.3358,117.192,144.534,100.455
 1920,112.193,25.7282,50.5403,94.5441,130.402,132.203,177.138,156.891,132.733,16.775,14.1814,99.9964
 1921,89.8439,49.6339,16.3209,138.369,76.009,130.006,85.6093,109.87,55.8558,65.2535,52.987,42.6519
 1922,100.554,53.7075,87.8749,122.782,76.6224,119.052,120.023,119.703,200.272,138.189,85.051,74.5802
 1923,90.3132,78.029,59.6523,126.701,61.8702,157.456,86.2915,109.474,98.997,112.709,118.281,144.793
 1924,46.2665,59.6465,36.2113,106.48,126.458,178.821,135.813,144.486,112.567,46.8516,22.5967,42.9158
 1925,22.5628,91.0619,65.3717,126.582,99.169,125.585,139.327,188.57,105.691,70.6367,127.167,76.878
 1926,53.3309,81.5538,94.1282,80.4841,146.506,207.717,205.876,106.664,86.9555,122.414,90.7094,71.1323
 1927,106.889,29.8003,93.8153,124.763,89.3385,143.69,124.246,140.511,154.617,40.9306,109.885,34.0467
 1928,45.3497,81.6125,68.2689,98.9506,144.803,131.54,75.1498,152.213,124.47,78.0383,107.07,72.9953
 1929,67.9431,36.201,15.1957,72.22,104.373,130.436,109.467,126.03,46.6153,113.74,86.7641,97.5096
 1930,27.6675,37.189,71.6591,118.658,115.281,68.9622,148.661,167.106,129.955,152.366,75.6023,71.854
 1931,69.6317,97.2967,60.0366,84.0215,53.7453,131.022,170.546,155.102,127.926,84.1393,76.9094,58.3379
 1932,61.2616,21.2188,59.0719,72.3125,138.958,84.7591,144.871,80.0719,54.3001,132.24,91.916,23.0106
 1933,51.3189,71.2377,46.2811,85.3375,161.078,159.111,134.638,134.321,104.99,157.843,102.593,77.1202
 1934,49.4045,41.0209,68.2712,58.1379,75.6603,178.127,113.65,189.709,71.3591,82.6782,87.3796,88.1862
 1935,61.9882,142.786,48.798,122.739,133.193,79.5203,99.6279,97.6485,83.085,183.973,83.181,85.7234
 1936,98.6749,91.4623,37.4164,99.0919,162.947,132.159,174.554,89.4754,99.4784,120.352,50.0032,67.7024
 1937,57.6583,99.1034,121.207,109.107,58.5655,157.569,153.332,182.063,208.929,89.292,72.624,106.09
 1938,64.2024,32.3482,60.4767,70.9924,122.86,100.416,141.418,203.783,65.7166,61.5987,63.0816,73.055
 1939,71.1949,30.6082,84.9362,39.3444,181.042,135.548,119.78,115.666,118.258,150.916,100.751,83.6814
 1940,52.407,47.5018,87.1881,53.1727,169.669,116.574,165.486,128.354,130.82,100.936,89.0636,40.0115
 1941,72.712,84.6212,88.5103,113.074,112.19,100.374,162.386,177.635,68.4833,123.692,77.8127,64.1532
 1942,51.3717,54.8978,42.5703,99.3995,108.176,113.297,146.663,93.2353,85.0084,93.1938,77.128,35.146
