Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1954,180.919,182.222,167.083,46.8846,13.0331,9.46707,0.90565,5.59703,3.82826,3.39951,101.395,183.612
 1955,246.806,298.962,192.111,110.861,39.968,10.1526,9.37031,2.17088,2.29941,3.24667,39.7146,190.21
 1956,318.45,206.291,258.763,208.991,42.3374,16.6289,4.42426,2.7814,4.46086,9.34827,98.5939,239.765
 1957,307.179,201.311,165.363,147.338,50.4936,4.45215,0.47594,1.47447,0.68229,5.13218,8.41189,239.141
 1958,225.662,200.568,130.115,64.1278,9.01465,21.3993,5.40877,8.05685,8.2549,7.89519,48.8344,186.538
 1959,209.79,256.836,152.939,42.6363,6.36082,10.2111,5.43794,6.56594,3.8325,29.0021,65.717,213.481
 1960,176.756,241.786,219.833,88.1333,13.6251,15.9526,11.2051,0.47513,6.6688,4.17778,47.7432,180.594
 1961,241.805,202.367,271.684,132.588,35.0613,12.1779,31.3559,9.94802,5.29349,15.2724,103.584,241.841
 1962,332.402,179.833,226.9,150.802,26.2917,3.38827,10.1023,4.51393,1.52536,15.5573,79.5925,232.297
 1963,261.371,252.455,286.579,97.0965,7.75557,3.58294,5.8082,0.09413,2.13789,16.5018,148.826,246.718
 1964,285.665,198.619,123.618,30.9791,9.50701,2.6463,16.2787,5.37681,0.23279,0.67729,59.6326,171.285
 1965,261.471,217.166,240.347,77.7686,15.7593,7.46883,1.36818,2.78113,7.2423,16.155,56.3023,211.493
 1966,161.853,252.803,169.454,64.4309,31.6374,15.1919,5.71194,0.9386,3.07707,11.6866,67.313,176.26
 1967,165.521,156.127,252.082,151.913,52.3881,16.5207,17.195,8.95276,4.64715,17.6035,79.3743,212.41
 1968,180.26,208.495,173.785,100.335,27.4638,25.0117,5.94767,3.15722,1.22523,4.00201,106.617,254.066
 1969,241.748,190.433,151.683,145.482,18.941,8.3602,7.22347,5.7482,4.75376,15.2017,34.1292,287.893
 1970,255.646,210.987,123.648,64.0638,9.99843,7.98162,9.16382,0.59977,0.37481,19.9503,123.714,296.422
 1971,303.569,229.279,148.5,80.0149,22.5448,2.77682,3.41589,0.11038,1.16348,11.6833,84.1542,181.507
 1972,234.797,177.545,153.991,100.677,38.35,11.7152,4.97078,3.61009,1.63546,14.4859,101.818,195.759
 1973,191.14,152.88,170.298,125.102,6.55251,11.1115,7.63222,2.54486,0.88606,9.48909,51.6965,185.914
 1974,298.454,222.811,272.289,145.527,87.7211,15.3912,27.162,2.00261,3.43821,9.97112,51.025,211.979
 1975,171.092,189.518,218.113,117.626,12.4558,9.6009,4.24932,4.62182,0.43971,19.1972,48.928,179.668
 1976,257.746,276.536,251.868,167.328,37.7421,21.7101,4.68056,1.05832,1.32688,32.9872,25.8252,188.171
 1977,264.711,152.27,204.784,77.8873,24.2583,3.36415,4.00489,3.30247,6.07509,10.5785,83.0958,219.068
 1978,266.91,203.631,358.589,109.063,7.04304,14.4566,6.53022,0.00033,1.40934,20.8608,82.0889,294.405
 1979,170.56,261.805,273.681,88.9081,10.6442,7.87392,13.1441,2.28698,3.3651,18.5356,118.889,202.877
 1980,200.841,152.745,246.668,173.926,18.6839,4.9643,4.60624,2.76938,8.46006,23.8727,30.689,316.73
 1981,163.244,274.393,158.788,81.1478,28.3787,3.72946,4.02977,1.04674,5.36446,23.5647,51.344,162.2
 1982,236.915,247.478,150.503,139.643,55.0384,6.48444,16.9266,5.46439,2.82623,47.6258,96.0107,175.161
 1983,195.448,183.939,130.456,77.71,22.3623,14.4538,16.1389,2.49564,0.41034,12.5737,31.5534,230.138
 1984,170.822,250.008,202.041,51.1914,21.9354,10.5777,6.04855,2.00788,4.96373,11.1714,114.53,298.555
 1985,198.336,195.979,253.731,101.937,16.3482,6.3649,5.90782,5.91459,6.49496,23.6938,155.982,242.568
 1986,305.53,203.622,208.392,95.6547,13.9736,10.7695,2.7127,0.2407,3.2848,41.727,77.5041,246.638
 1987,241.705,180.232,141.3,54.0107,9.45772,7.17469,0.97873,1.05734,1.33405,22.5886,29.3054,154.544
 1988,252.027,243.119,222.898,73.0513,35.1528,8.18674,2.79347,2.5506,0.83845,40.4084,71.0854,163.957
 1989,309.789,251.981,319.904,104.644,21.0941,7.19182,8.53308,5.03023,2.87233,10.4206,111.411,223.94
 1990,237.383,183.164,95.6388,60.4906,72.0959,3.83912,2.36458,4.80524,5.21285,3.07219,42.3311,115.15
 1991,270.123,180.891,208.38,94.5087,19.4678,2.31401,9.97793,2.28472,4.8762,13.6732,81.7218,171.625
 1992,184.152,69.9821,156.026,38.7659,19.8563,4.58637,2.97051,0.3276,0.01029,2.29027,80.0148,168.552
 1993,258.631,218.628,172.998,81.2728,17.487,12.4404,2.54017,5.44864,5.84846,14.107,69.9573,98.9596
 1994,251.071,175.061,129.305,60.5344,2.85687,5.10176,2.85934,4.53583,1.94945,28.7545,40.1524,113.113
 1995,267.977,182.757,120.459,51.3507,15.492,2.02257,2.61997,2.38658,0.84412,3.91486,32.1672,239.801
 1996,215.021,265.888,247.538,67.8658,48.339,3.77052,4.59377,0.86492,2.50487,7.15362,24.9141,218.606
 1997,238.174,280.298,117.39,134.837,3.88681,1.7105,17.9929,0.24738,5.51118,30.547,78.842,272.967
 1998,280.473,173.418,109.132,55.6416,5.76929,0.96528,2.74243,4.67626,1.10235,15.822,41.4013,126.686
 1999,308.548,224.386,305.096,128.539,17.3611,11.9062,8.03799,6.48797,2.49592,2.47244,60.5037,117.73
 2000,212.528,199.966,201.535,63.4879,11.6383,6.63276,5.5895,0.98838,0.32534,8.41605,153.378,233.249
 2001,220.092,298.969,258.82,54.4563,43.9798,3.26176,1.76905,1.62999,1.54539,7.157,42.1384,184.29
 2002,257.918,132.355,218.424,75.8847,0.9419,21.5995,0.66433,7.13093,1.0251,3.80288,75.9034,153.588
 2003,183.608,217.726,321.026,58.017,15.3201,5.05865,22.9781,4.0173,2.05583,6.95807,23.1734,176.661
 2004,267.011,187.453,158.567,168.577,1.79689,13.6542,0.76949,12.8887,1.85855,16.5467,64.5788,249.877
 2005,213.097,76.1283,122.775,41.8598,20.6748,4.0749,7.30964,1.7452,3.24205,1.91725,85.8275,162.943
 2006,81.2494,50.9008,254.268,136.509,30.6161,1.33911,4.11563,0.29338,2.53019,13.3652,96.5183,278.164
 2007,331.735,192.385,135.386,61.6295,9.34501,2.40475,4.66873,4.59534,0.87993,34.3937,46.1335,247.63
 2008,248.056,210.901,182.417,48.4579,23.7626,1.20381,2.97673,2.84884,6.34212,19.1909,49.0448,255.003
 2009,264.955,205.346,223.103,72.4102,9.86167,0.38582,3.83679,0.83266,2.82918,9.39536,90.1135,210.416
 2010,199.426,216.016,149.421,94.021,18.4151,19.9369,11.1712,6.62035,0.14191,6.76495,13.696,139.364
 2011,207.524,338.862,211.277,117.876,30.4562,4.71684,11.4311,1.50318,5.08158,20.0813,51.0758,145.58
 2012,302.646,159.413,208.925,41.7607,25.518,5.81387,0.54192,1.01382,2.13059,9.07664,34.762,204.278
 2013,269.122,206.368,172.019,71.3991,56.4076,3.28935,2.05144,0.4343,0.38669,30.431,53.3758,201.918
 2014,229.361,259.38,133.205,134.233,20.137,11.6585,4.85214,3.32855,5.74426,26.4124,74.1308,169.618
 2015,242.568,109.528,174.826,47.9602,1.63884,4.99043,3.43926,0.22658,1.25508,6.08335,33.5891,195.556
 2016,275.46,165.575,140.966,102.943,9.7434,5.70071,4.52577,0.51049,1.05029,8.06094,22.495,176.92

