187.015, 1912, Apr Average, Kenya, KEN
70.2193, 1912, May Average, Kenya, KEN
27.294, 1912, Jun Average, Kenya, KEN
27.6091, 1912, Jul Average, Kenya, KEN
28.7467, 1912, Aug Average, Kenya, KEN
26.6003, 1912, Sep Average, Kenya, KEN
20.2097, 1912, Oct Average, Kenya, KEN
137.624, 1912, Nov Average, Kenya, KEN
88.6917, 1912, Dec Average, Kenya, KEN
9.02835, 1913, Jan Average, Kenya, KEN
41.3324, 1913, Feb Average, Kenya, KEN
116.404, 1913, Mar Average, Kenya, KEN
110.923, 1913, Apr Average, Kenya, KEN
104.948, 1913, May Average, Kenya, KEN
52.1447, 1913, Jun Average, Kenya, KEN
25.4399, 1913, Jul Average, Kenya, KEN
19.0185, 1913, Aug Average, Kenya, KEN
12.2445, 1913, Sep Average, Kenya, KEN
65.1671, 1913, Oct Average, Kenya, KEN
72.832, 1913, Nov Average, Kenya, KEN
31.3848, 1913, Dec Average, Kenya, KEN
59.8082, 1914, Jan Average, Kenya, KEN
14.8251, 1914, Feb Average, Kenya, KEN
54.6149, 1914, Mar Average, Kenya, KEN
95.1173, 1914, Apr Average, Kenya, KEN
120.353, 1914, May Average, Kenya, KEN
34.8004, 1914, Jun Average, Kenya, KEN
34.9543, 1914, Jul Average, Kenya, KEN
47.0732, 1914, Aug Average, Kenya, KEN
30.7524, 1914, Sep Average, Kenya, KEN
44.9827, 1914, Oct Average, Kenya, KEN
135.109, 1914, Nov Average, Kenya, KEN
21.4805, 1914, Dec Average, Kenya, KEN
6.52272, 1915, Jan Average, Kenya, KEN
9.32113, 1915, Feb Average, Kenya, KEN
73.63, 1915, Mar Average, Kenya, KEN
137.297, 1915, Apr Average, Kenya, KEN
125.835, 1915, May Average, Kenya, KEN
63.2482, 1915, Jun Average, Kenya, KEN
23.6553, 1915, Jul Average, Kenya, KEN
14.5697, 1915, Aug Average, Kenya, KEN
29.9574, 1915, Sep Average, Kenya, KEN
39.5108, 1915, Oct Average, Kenya, KEN
114.615, 1915, Nov Average, Kenya, KEN
52.0303, 1915, Dec Average, Kenya, KEN
66.4891, 1916, Jan Average, Kenya, KEN
27.3556, 1916, Feb Average, Kenya, KEN
50.8488, 1916, Mar Average, Kenya, KEN
189.117, 1916, Apr Average, Kenya, KEN
90.409, 1916, May Average, Kenya, KEN
35.3743, 1916, Jun Average, Kenya, KEN
25.5311, 1916, Jul Average, Kenya, KEN
35.3315, 1916, Aug Average, Kenya, KEN
55.3854, 1916, Sep Average, Kenya, KEN
32.8145, 1916, Oct Average, Kenya, KEN
90.6218, 1916, Nov Average, Kenya, KEN
73.6494, 1916, Dec Average, Kenya, KEN
82.9051, 1917, Jan Average, Kenya, KEN
46.9459, 1917, Feb Average, Kenya, KEN
59.5338, 1917, Mar Average, Kenya, KEN
217.548, 1917, Apr Average, Kenya, KEN
113, 1917, May Average, Kenya, KEN
57.207, 1917, Jun Average, Kenya, KEN
27.6263, 1917, Jul Average, Kenya, KEN
46.8164, 1917, Aug Average, Kenya, KEN
27.0388, 1917, Sep Average, Kenya, KEN
59.9601, 1917, Oct Average, Kenya, KEN
32.6043, 1917, Nov Average, Kenya, KEN
5.45751, 1917, Dec Average, Kenya, KEN
17.8741, 1918, Jan Average, Kenya, KEN
9.51685, 1918, Feb Average, Kenya, KEN
15.6723, 1918, Mar Average, Kenya, KEN
137.527, 1918, Apr Average, Kenya, KEN
62.1319, 1918, May Average, Kenya, KEN
31.9031, 1918, Jun Average, Kenya, KEN
36.6333, 1918, Jul Average, Kenya, KEN
19.8272, 1918, Aug Average, Kenya, KEN
17.7875, 1918, Sep Average, Kenya, KEN
42.5537, 1918, Oct Average, Kenya, KEN
49.8393, 1918, Nov Average, Kenya, KEN
47.1274, 1918, Dec Average, Kenya, KEN
4.14617, 1919, Jan Average, Kenya, KEN
36.1811, 1919, Feb Average, Kenya, KEN
91.8985, 1919, Mar Average, Kenya, KEN
116.457, 1919, Apr Average, Kenya, KEN
50.7909, 1919, May Average, Kenya, KEN
32.7446, 1919, Jun Average, Kenya, KEN
44.9167, 1919, Jul Average, Kenya, KEN
26.6055, 1919, Aug Average, Kenya, KEN
37.6226, 1919, Sep Average, Kenya, KEN
86.2914, 1919, Oct Average, Kenya, KEN
62.6359, 1919, Nov Average, Kenya, KEN
18.1169, 1919, Dec Average, Kenya, KEN
7.68216, 1920, Jan Average, Kenya, KEN
3.27954, 1920, Feb Average, Kenya, KEN
110.023, 1920, Mar Average, Kenya, KEN
146.439, 1920, Apr Average, Kenya, KEN
79.4036, 1920, May Average, Kenya, KEN
36.1257, 1920, Jun Average, Kenya, KEN
22.9747, 1920, Jul Average, Kenya, KEN
14.3301, 1920, Aug Average, Kenya, KEN
24.6009, 1920, Sep Average, Kenya, KEN
68.3224, 1920, Oct Average, Kenya, KEN
93.9564, 1920, Nov Average, Kenya, KEN
57.5037, 1920, Dec Average, Kenya, KEN
25.1821, 1921, Jan Average, Kenya, KEN
12.5556, 1921, Feb Average, Kenya, KEN
18.6867, 1921, Mar Average, Kenya, KEN
75.6674, 1921, Apr Average, Kenya, KEN
95.7785, 1921, May Average, Kenya, KEN
28.98, 1921, Jun Average, Kenya, KEN
32.3136, 1921, Jul Average, Kenya, KEN
21.8244, 1921, Aug Average, Kenya, KEN
15.8381, 1921, Sep Average, Kenya, KEN
45.6209, 1921, Oct Average, Kenya, KEN
60.8317, 1921, Nov Average, Kenya, KEN
27.4486, 1921, Dec Average, Kenya, KEN
17.5288, 1922, Jan Average, Kenya, KEN
36.8487, 1922, Feb Average, Kenya, KEN
79.747, 1922, Mar Average, Kenya, KEN
79.4642, 1922, Apr Average, Kenya, KEN
117.782, 1922, May Average, Kenya, KEN
23.2158, 1922, Jun Average, Kenya, KEN
25.0768, 1922, Jul Average, Kenya, KEN
44.2307, 1922, Aug Average, Kenya, KEN
27.7108, 1922, Sep Average, Kenya, KEN
50.6335, 1922, Oct Average, Kenya, KEN
47.8443, 1922, Nov Average, Kenya, KEN
52.5262, 1922, Dec Average, Kenya, KEN
21.8643, 1923, Jan Average, Kenya, KEN
45.4009, 1923, Feb Average, Kenya, KEN
68.4465, 1923, Mar Average, Kenya, KEN
182.424, 1923, Apr Average, Kenya, KEN
142.037, 1923, May Average, Kenya, KEN
39.2025, 1923, Jun Average, Kenya, KEN
38.8165, 1923, Jul Average, Kenya, KEN
17.9716, 1923, Aug Average, Kenya, KEN
35.6198, 1923, Sep Average, Kenya, KEN
78.0289, 1923, Oct Average, Kenya, KEN
93.2566, 1923, Nov Average, Kenya, KEN
41.7787, 1923, Dec Average, Kenya, KEN
9.35989, 1924, Jan Average, Kenya, KEN
34.9883, 1924, Feb Average, Kenya, KEN
52.2813, 1924, Mar Average, Kenya, KEN
130.722, 1924, Apr Average, Kenya, KEN
55.2207, 1924, May Average, Kenya, KEN
54.9436, 1924, Jun Average, Kenya, KEN
22.6801, 1924, Jul Average, Kenya, KEN
40.537, 1924, Aug Average, Kenya, KEN
18.2625, 1924, Sep Average, Kenya, KEN
32.6172, 1924, Oct Average, Kenya, KEN
