Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1901,166.357,166.161,103.281,180.862,52.8278,8.08646,10.0832,3.86589,11.049,12.6252,39.7178,67.2781
 1902,94.8326,108.253,135.151,147.236,64.7818,25.5401,9.56615,8.44384,21.3168,33.5926,94.2432,147.684
 1903,169.84,187.396,186.179,209.441,103.761,16.9276,6.15252,10.8954,18.5365,24.7114,53.8257,158.101
 1904,200.781,151.093,201.578,217.994,100.362,18.7436,9.26081,10.6462,10.3515,20.1025,78.0002,146.256
 1905,164.523,73.0673,185.649,226.361,39.3506,9.05232,7.5545,8.35918,25.2543,20.1339,128.674,209.27
 1906,192.31,180.238,287.968,185.841,65.4019,18.4192,5.85051,6.06911,15.5098,35.0915,48.0724,136.714
 1907,118.299,144.998,106.983,223.78,78.654,11.7222,3.77901,5.69762,12.5469,20.4965,73.9071,86.8078
 1908,139.79,138.955,145.361,180.465,82.9574,23.0153,13.4083,10.8595,12.4735,20.307,86.7141,136.873
 1909,133.053,74.4027,147.185,151.636,43.2602,7.67965,16.9075,12.2521,26.324,18.8846,43.7001,77.303
 1910,184.777,86.1119,122.308,198.819,59.2756,4.81199,12.8704,7.42291,8.4808,13.136,64.7653,114.051
 1911,92.9267,100.956,193.869,190.256,68.039,10.2986,11.7592,10.8273,6.06335,14.4902,137.946,119.182
 1912,141.189,193.595,142.992,200.126,33.2027,10.6639,6.16838,12.8767,29.3205,25.2448,81.7335,145.175
 1913,112.787,151.154,262.44,164.503,90.4317,15.6841,3.8982,3.76939,10.2615,29.3587,64.2896,140.779
 1914,162.163,119.036,180.444,129.084,54.1303,9.8292,7.25837,13.2742,17.1845,25.2102,85.3327,111.418
 1915,96.4977,106.969,178.847,187.335,71.3241,24.0473,8.1758,3.80759,16.6637,25.5162,62.8792,152.965
 1916,122.225,172.537,130.057,227.684,104.572,12.3592,4.27522,8.54547,23.7721,24.0664,67.2855,129.839
 1917,149.045,204.07,182.688,196.013,66.3775,17.7827,4.67437,11.1499,15.6723,25.9088,64.5128,68.1002
 1918,144.614,82.8529,112.041,140.988,47.8509,18.1473,12.4118,5.31007,12.8341,21.5347,46.0172,95.9986
 1919,130.923,158.711,169.654,149.878,42.1414,7.45591,9.61623,8.6247,17.0642,30.7867,81.6973,126.449
 1920,100.183,69.6711,189.656,135.389,68.5225,7.83231,5.24856,3.60897,12.6149,48.7394,84.3487,171.305
 1921,112.994,117.668,153.576,154.837,39.7136,9.31561,7.56632,5.65883,8.15463,22.6775,80.7328,116.035
 1922,116.449,138.739,229.7,81.557,85.801,12.5799,4.88465,14.4146,13.5611,36.6743,74.5252,103.512
 1923,115.136,177.384,126.887,281.408,77.3078,7.15564,9.38604,8.36935,17.0574,16.5863,54.214,205.708
 1924,125.14,190.409,151.251,129.033,27.7896,17.4119,4.3449,9.16759,13.435,15.0185,44.6037,59.5715
 1925,207.915,150.318,157.945,95.0366,63.0271,20.0921,8.5209,10.1007,13.1523,39.4501,163.811,150.778
 1926,137.276,125.911,169.012,167.751,46.7725,5.57968,6.84171,7.15908,31.1475,31.2468,82.7569,128.137
 1927,175.383,101.255,228.192,162.97,43.8256,6.49441,3.38082,5.73179,10.8063,23.0538,45.8436,175.355
 1928,87.3116,135.626,208.667,151.363,71.9227,20.621,3.3018,9.23453,14.865,36.9091,52.0757,136.139
 1929,117.224,74.4809,174.612,139.615,35.2172,18.8969,12.064,6.79241,12.8607,29.3125,47.642,177.643
 1930,186.524,202.695,299.866,211.939,47.8733,6.62907,6.14142,9.04233,32.3918,21.643,82.451,77.6326
 1931,143.111,137.398,213.535,188.281,69.5454,11.6957,7.18165,7.17656,14.5659,11.4053,75.8548,193.674
 1932,112.818,157.849,222.583,187.931,77.5534,11.3653,6.1682,4.37039,30.3041,15.8434,44.6188,143.265
 1933,227.736,164.765,144.523,106.591,34.1151,7.25774,8.30386,12.943,15.0331,26.4533,38.0266,138.087
 1934,166.063,117.805,171.164,123.596,86.856,29.327,13.6549,8.06596,9.32427,25.4344,67.5996,168.602
 1935,114.16,210.069,153.971,120.707,103.46,22.7866,1.56895,10.7574,21.8255,22.2943,75.426,161.069
 1936,203.627,166.108,204.705,245.956,69.5816,41.6153,3.80494,10.8751,21.6061,16.5761,37.0467,188.209
 1937,141.33,124.313,240.426,221.146,93.0221,9.60134,3.3301,7.83834,15.7211,42.9902,98.8345,93.7723
 1938,82.1589,128.388,225.491,137.436,59.4237,11.9365,4.98095,4.51927,13.3096,38.1467,77.5291,105.761
 1939,106.521,96.2201,200.329,202.911,80.5451,13.3895,4.82933,9.68971,16.8719,10.6615,67.1922,98.3727
 1940,209.845,154.745,227.289,170.684,63.2253,7.76641,11.7764,8.06806,9.65094,25.2281,73.2085,106.824
 1941,160.212,114.693,185.016,129.037,63.5194,15.7872,4.05238,13.7391,14.6642,20.6933,188.474,214.511
 1942,161.127,78.4787,275.587,196.93,80.881,8.47444,3.98413,14.5762,4.25772,23.8498,70.3749,143.118
 1943,108.646,177.313,129.665,166.141,85.7927,18.7881,8.49731,10.8665,11.1575,8.94085,34.9956,80.1015
 1944,152.994,108.007,193.827,177.682,61.7066,11.9463,6.77936,7.15422,28.9279,43.9347,156.183,154.657
 1945,180.745,155.954,163.014,148.713,128.318,10.2544,5.48572,10.8257,14.3946,14.4968,65.8498,142.875
 1946,83.625,69.6822,114.644,204.475,66.211,6.97968,5.4762,8.85666,27.7745,31.7679,94.7595,146.112
 1947,190.102,155.155,190.759,257.571,88.258,20.5818,6.54294,5.65819,22.2818,22.9688,54.9716,138.976
 1948,178.871,97.8394,180.897,153.202,57.2366,14.2942,8.86974,10.4924,16.3768,39,52.8161,109.414
 1949,90.7345,142.122,92.3868,137.856,56.5074,9.16621,14.0007,8.05497,10.7591,17.8072,29.222,130.468
 1950,162.022,132.846,243.786,152.897,70.4211,7.2226,7.27565,12.5121,14.9257,44.6413,54.6477,113.909
 1951,158.356,173.333,168.428,225.818,70.4844,16.6756,7.67831,8.08146,9.05824,37.7558,145.653,218.457
