37.7714, 1912, Dec Average, Austria, AUT
57.8547, 1913, Jan Average, Austria, AUT
19.8326, 1913, Feb Average, Austria, AUT
56.6612, 1913, Mar Average, Austria, AUT
74.276, 1913, Apr Average, Austria, AUT
93.9357, 1913, May Average, Austria, AUT
139.663, 1913, Jun Average, Austria, AUT
194.726, 1913, Jul Average, Austria, AUT
135.001, 1913, Aug Average, Austria, AUT
137.639, 1913, Sep Average, Austria, AUT
56.969, 1913, Oct Average, Austria, AUT
168.936, 1913, Nov Average, Austria, AUT
110.303, 1913, Dec Average, Austria, AUT
59.5791, 1914, Jan Average, Austria, AUT
35.5435, 1914, Feb Average, Austria, AUT
124.94, 1914, Mar Average, Austria, AUT
73.4914, 1914, Apr Average, Austria, AUT
160.446, 1914, May Average, Austria, AUT
113.523, 1914, Jun Average, Austria, AUT
241.241, 1914, Jul Average, Austria, AUT
87.1131, 1914, Aug Average, Austria, AUT
128.199, 1914, Sep Average, Austria, AUT
71.7618, 1914, Oct Average, Austria, AUT
50.3411, 1914, Nov Average, Austria, AUT
79.5625, 1914, Dec Average, Austria, AUT
133.51, 1915, Jan Average, Austria, AUT
80.2862, 1915, Feb Average, Austria, AUT
93.7232, 1915, Mar Average, Austria, AUT
68.6431, 1915, Apr Average, Austria, AUT
68.6607, 1915, May Average, Austria, AUT
121.255, 1915, Jun Average, Austria, AUT
183.524, 1915, Jul Average, Austria, AUT
147.003, 1915, Aug Average, Austria, AUT
98.454, 1915, Sep Average, Austria, AUT
124.792, 1915, Oct Average, Austria, AUT
88.0359, 1915, Nov Average, Austria, AUT
82.7022, 1915, Dec Average, Austria, AUT
81.8121, 1916, Jan Average, Austria, AUT
97.8042, 1916, Feb Average, Austria, AUT
106.305, 1916, Mar Average, Austria, AUT
129.982, 1916, Apr Average, Austria, AUT
83.301, 1916, May Average, Austria, AUT
153.383, 1916, Jun Average, Austria, AUT
153.796, 1916, Jul Average, Austria, AUT
119.575, 1916, Aug Average, Austria, AUT
181.891, 1916, Sep Average, Austria, AUT
68.9977, 1916, Oct Average, Austria, AUT
123.605, 1916, Nov Average, Austria, AUT
130.453, 1916, Dec Average, Austria, AUT
127.646, 1917, Jan Average, Austria, AUT
21.3227, 1917, Feb Average, Austria, AUT
82.3877, 1917, Mar Average, Austria, AUT
132.095, 1917, Apr Average, Austria, AUT
40.8233, 1917, May Average, Austria, AUT
59.0758, 1917, Jun Average, Austria, AUT
125.159, 1917, Jul Average, Austria, AUT
123.662, 1917, Aug Average, Austria, AUT
54.8483, 1917, Sep Average, Austria, AUT
179.322, 1917, Oct Average, Austria, AUT
77.901, 1917, Nov Average, Austria, AUT
63.8639, 1917, Dec Average, Austria, AUT
34.9171, 1918, Jan Average, Austria, AUT
42.6934, 1918, Feb Average, Austria, AUT
46.3438, 1918, Mar Average, Austria, AUT
91.832, 1918, Apr Average, Austria, AUT
76.6137, 1918, May Average, Austria, AUT
171.426, 1918, Jun Average, Austria, AUT
166.214, 1918, Jul Average, Austria, AUT
169.165, 1918, Aug Average, Austria, AUT
123.749, 1918, Sep Average, Austria, AUT
115.575, 1918, Oct Average, Austria, AUT
35.1775, 1918, Nov Average, Austria, AUT
157.126, 1918, Dec Average, Austria, AUT
97.1874, 1919, Jan Average, Austria, AUT
39.6215, 1919, Feb Average, Austria, AUT
71.7756, 1919, Mar Average, Austria, AUT
134.898, 1919, Apr Average, Austria, AUT
78.9176, 1919, May Average, Austria, AUT
152.007, 1919, Jun Average, Austria, AUT
165.936, 1919, Jul Average, Austria, AUT
88.6622, 1919, Aug Average, Austria, AUT
81.3358, 1919, Sep Average, Austria, AUT
117.192, 1919, Oct Average, Austria, AUT
144.534, 1919, Nov Average, Austria, AUT
100.455, 1919, Dec Average, Austria, AUT
112.193, 1920, Jan Average, Austria, AUT
25.7282, 1920, Feb Average, Austria, AUT
50.5403, 1920, Mar Average, Austria, AUT
94.5441, 1920, Apr Average, Austria, AUT
130.402, 1920, May Average, Austria, AUT
132.203, 1920, Jun Average, Austria, AUT
177.138, 1920, Jul Average, Austria, AUT
156.891, 1920, Aug Average, Austria, AUT
132.733, 1920, Sep Average, Austria, AUT
16.775, 1920, Oct Average, Austria, AUT
14.1814, 1920, Nov Average, Austria, AUT
99.9964, 1920, Dec Average, Austria, AUT
89.8439, 1921, Jan Average, Austria, AUT
49.6339, 1921, Feb Average, Austria, AUT
16.3209, 1921, Mar Average, Austria, AUT
138.369, 1921, Apr Average, Austria, AUT
76.009, 1921, May Average, Austria, AUT
130.006, 1921, Jun Average, Austria, AUT
85.6093, 1921, Jul Average, Austria, AUT
109.87, 1921, Aug Average, Austria, AUT
