Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1901,45.1414,96.3612,91.855,27.7919,19.3731,22.4444,17.5664,28.5962,16.3443,17.8295,14.1553,20.1329
 1902,69.2858,54.29,19.7166,4.81653,8.96931,16.3352,10.4601,11.6421,13.719,17.9308,26.4262,50.2391
 1903,61.1487,52.6899,77.9628,52.7288,29.9003,22.028,24.8686,17.3853,33.4295,22.3873,39.4398,91.51
 1904,88.4361,80.204,60.0208,41.8183,38.4047,21.0789,34.299,11.3175,17.4927,38.7822,15.6085,45.4894
 1905,66.3863,36.5459,26.7982,41.3175,32.3685,21.5365,20.7815,10.9658,13.2504,19.1086,18.754,28.5014
 1906,56.777,73.2803,58.9271,9.26419,23.8098,25.6337,19.5612,29.2491,35.1807,28.1767,35.8891,68.7675
 1907,77.2989,68.9997,53.2456,15.8159,20.3078,37.146,24.7033,16.1594,9.25286,16.3351,37.7236,89.6711
 1908,53.3285,89.7014,77.623,41.0644,25.0785,24.9403,20.5029,19.9046,16.729,23.8881,28.017,43.9208
 1909,66.7482,48.9783,48.377,38.0251,21.6693,44.5676,17.1847,37.231,11.9804,24.0985,43.3368,42.8337
 1910,82.0994,73.6666,73.912,27.6307,29.4447,42.3023,28.9204,11.4612,22.2893,24.1545,44.9449,71.5696
 1911,81.53,79.8049,33.7816,35.7589,24.8149,17.0845,20.9551,12.5906,14.7912,16.7303,31.2682,60.5875
 1912,34.2637,75.1165,69.9782,10.5836,10.3007,36.7132,35.6349,11.6865,13.6108,18.6723,32.0223,32.0698
 1913,76.3595,93.6935,75.6356,26.1885,27.6111,26.9774,12.7059,13.1309,16.8979,19.6037,13.8781,53.6568
 1914,100.559,39.0345,54.2056,26.8214,27.7676,20.1185,17.1071,6.35538,6.93309,18.7474,41.7298,71.7912
 1915,82.4626,54.0419,19.1441,14.9274,37.1756,28.9315,18.6994,19.9583,22.8434,15.7268,13.5213,53.1333
 1916,74.6574,61.4928,45.9479,22.8194,18.8968,41.1129,39.1344,21.9949,21.4448,50.1234,56.8008,81.2272
 1917,105.667,72.7293,69.7229,19.943,21.7252,29.6994,24.76,26.0918,37.0986,28.8583,63.1662,68.1877
 1918,123.81,109.287,29.2082,28.0608,23.7204,18.1521,16.748,26.1749,8.6314,11.5228,18.2194,29.354
 1919,70.4356,85.518,31.1502,32.0615,26.9254,12.6216,10.7943,18.129,9.75161,11.8583,19.9455,50.3224
 1920,93.0456,39.741,33.0045,40.5001,24.3539,36.3051,36.9397,31.2128,30.7963,31.3159,50.0014,63.2575
 1921,63.1074,88.8955,101.719,25.2219,54.285,42.0519,27.7527,19.801,23.3215,24.7155,23.5985,64.1538
 1922,50.5438,79.7945,57.8654,23.1306,25.9849,21.381,24.5801,12.463,12.9392,20.6992,15.8898,82.6831
 1923,59.3823,27.6197,56.7924,30.8239,23.0577,55.4613,23.3525,10.9659,15.3866,16.917,15.0337,75.5069
 1924,50.2535,82.2312,45.2587,25.623,12.2209,18.7736,15.618,22.2345,20.7728,30.9179,54.4464,41.9331
 1925,95.8522,79.8051,66.1995,17.0211,26.6207,19.9467,19.2934,15.5409,13.5736,8.08769,28.6148,34.2877
 1926,77.0248,28.0895,69.4592,32.3359,33.1909,17.2634,17.1648,14.0327,24.0807,10.5062,17.5538,62.0782
 1927,81.0351,58.6062,62.562,15.5056,12.689,33.8828,17.8547,11.9235,15.8612,22.2094,34.114,52.3066
 1928,48.8699,81.2466,54.2862,25.2625,13.6203,23.6166,19.8747,8.0238,8.58919,16.2108,20.7786,46.9787
 1929,60.8024,62.0322,64.5913,31.9703,21.0715,23.9885,8.62994,15.0626,10.7042,13.4896,24.8308,42.5198
 1930,78.951,83.4464,44.7189,19.4716,29.3072,28.0547,20.4489,22.8355,9.70111,43.0673,26.2542,69.9022
 1931,66.5787,25.4511,68.4952,46.4497,41.65,35.9226,20.322,14.3036,18.3005,15.1132,38.8556,43.864
 1932,46.4711,44.455,56.6706,30.8991,34.583,21.1304,16.8129,22.6976,16.3145,24.0919,25.544,51.7202
 1933,45.4422,57.4024,51.5669,27.7079,25.304,24.6816,31.427,23.5319,22.9916,21.6777,49.2587,60.9516
 1934,66.9257,78.3273,62.9727,43.1424,9.47786,22.4973,30.8248,17.804,13.6723,34.02,46.8967,22.8975
 1935,62.3777,39.7555,67.6449,18.7117,11.989,19.1515,22.5868,17.7765,22.0638,26.9214,16.2105,25.8145
 1936,65.2916,72.0109,60.1787,18.4785,25.7163,24.8696,26.8798,16.1777,9.84036,15.4721,20.9635,63.1923
 1937,108.483,42.7956,60.52,13.9451,15.8116,22.1303,9.32347,18.1538,10.2646,17.4685,33.6254,37.619
 1938,73.8003,88.409,17.5771,12.6071,22.0604,26.9468,27.577,17.236,6.4865,20.673,37.4738,17.2531
 1939,92.3854,91.0456,63.3017,38.157,15.9003,38.3224,25.3211,27.5946,7.01882,26.9708,39.5891,27.4313
 1940,94.2341,88.2479,53.0788,29.1566,11.0145,8.75595,12.8695,9.63075,11.7031,9.25385,20.2928,41.9336
 1941,110.315,42.0796,108.592,32.877,22.2566,31.114,17.0733,13.329,11.9109,20.4916,34.1447,40.5662
 1942,81.2364,87.2668,40.8431,22.245,51.812,33.221,22.8067,16.2659,14.3511,27.9204,32.1345,80.3271
 1943,47.819,86.648,49.7961,38.0288,16.1501,17.0986,17.087,18.9152,22.9218,23.4551,31.6489,38.575
 1944,54.1268,81.04,45.8789,20.9911,20.6927,10.2166,23.0261,17.524,7.70662,12.0861,18.8548,57.0361
 1945,61.1854,64.3718,57.3568,14.6483,20.0384,40.956,26.6076,22.273,11.7734,22.0854,17.8347,58.341
 1946,93.1849,109.257,32.7596,13.6942,11.3618,17.3645,20.6866,9.00248,12.8533,7.56493,24.9101,44.3614
 1947,37.9902,110.796,90.3608,16.457,17.9184,18.6726,21.0279,31.6474,32.3963,33.3964,35.2908,54.6654
 1948,40.6431,85.6256,49.7153,34.8056,17.509,28.741,21.6428,10.9039,13.2117,13.5611,20.394,52.6789
 1949,44.9728,111.421,80.5408,14.1513,32.7797,16.9992,16.0783,11.7799,22.4146,41.0251,38.8612,52.0603
 1950,72.9663,91.015,74.4036,33.327,43.8295,38.1601,34.4111,12.9765,17.9027,50.2993,66.7208,79.4582
 1951,97.9744,66.8541,23.256,19.3652,16.2146,46.2174,18.2858,16.7474,13.6471,15.8002,14.1387,21.7047
 1952,67.0481,38.8349,30.1886,32.0487,42.5228,22.9556,23.6298,19.6345,12.8988,39.9451,31.3542,28.9989
 1953,108.077,86.0453,36.1325,33.2539,26.7996,17.2053,14.1927,26.2936,12.3437,22.0894,23.6375,46.6733
 1954,93.7493,68.8158,27.1088,48.0394,17.2017,22.7304,21.349,21.46,11.9676,47.6073,32.1329,49.5935
 1955,73.6259,108.194,72.6323,43.7396,54.3546,34.4584,32.8908,27.1187,17.6649,35.9496,35.8483,24.4647
 1956,68.2163,127.671,83.657,36.1479,50.0644,41.0922,45.3742,15.1031,15.6934,29.5259,26.9656,60.1017
 1957,67.5594,64.4157,63.6798,18.2109,9.67948,32.8299,22.0637,14.7439,5.9304,14.552,17.0598,62.4875
 1958,62.8263,46.3465,56.2147,30.8131,30.2216,27.1648,27.1499,27.6597,18.3299,24.9997,31.8304,43.7293
 1959,95.2105,42.7305,51.8881,35.7585,28.6359,18.918,18.8184,11.6358,14.2107,23.5924,24.3764,52.9131
 1960,88.5258,93.3321,51.0796,30.4459,41.2188,12.6974,30.0647,13.834,22.1768,14.3976,31.3374,57.6902
 1961,46.4832,66.778,28.7689,44.8344,8.81133,16.9326,19.7352,15.6203,8.22141,13.1478,44.2548,37.947
 1962,115.124,70.1874,44.4955,16.1404,31.2859,19.3364,22.8,17.5037,16.3735,24.6412,17.5522,56.2784
 1963,99.0038,75.7896,63.5725,43.125,44.4162,27.5045,20.6027,22.9178,11.588,14.4895,18.9667,37.3613
 1964,75.4594,42.0731,54.5971,35.9933,26.0457,25.2032,26.5266,16.0727,35.4006,33.6668,32.8066,39.96
 1965,34.6094,21.5321,73.0997,15.4885,18.6609,26.0012,17.8827,25.1775,11.9767,16.0669,22.3357,66.5908
