Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1901,15.4526,70.7127,61.4236,164.405,68.4718,19.5967,23.779,9.97236,22.5159,27.3135,95.5871,68.2771
 1902,5.52473,50.254,33.9062,112.32,86.666,37.1181,58.0328,28.2972,21.6382,74.7038,147.965,69.7052
 1903,54.0228,47.7264,44.5925,127.974,84.2513,63.5336,30.755,19.9303,37.3855,39.035,33.3874,58.6671
 1904,18.8326,16.179,55.9583,101.123,112.165,39.3593,32.6727,36.0399,20.3187,54.5315,118.012,58.2679
 1905,30.3433,7.61584,180.473,110.18,83.2168,27.7486,23.3756,32.4316,27.7376,65.9362,111.866,46.7703
 1906,9.11599,63.8647,134.4,191.231,93.4018,63.6766,23.8117,41.3805,24.0409,61.4596,74.5103,39.6727
 1907,55.8154,18.6944,7.15836,165.518,134.432,35.5142,26.1916,19.6286,11.0977,62.1521,75.6615,30.6741
 1908,12.8618,22.3649,49.9505,137.746,101.949,39.4678,36.9712,38.6092,19.6404,65.1604,79.6777,48.7584
 1909,17.4402,4.84566,28.1533,152.375,50.2148,26.0479,39.6653,38.5057,35.3694,46.9068,108.17,128.351
 1910,31.4199,3.00975,37.6981,116.03,88.1062,28.857,43.6849,23.1258,12.8305,31.0841,86.9037,51.2807
 1911,7.16112,18.8375,54.5374,157.48,97.1184,32.494,28.1339,39.4534,17.6879,28.3488,143.357,13.984
 1912,25.0841,106.121,55.2894,187.015,70.2193,27.294,27.6091,28.7467,26.6003,20.2097,137.624,88.6917
 1913,9.02835,41.3324,116.404,110.923,104.948,52.1447,25.4399,19.0185,12.2445,65.1671,72.832,31.3848
 1914,59.8082,14.8251,54.6149,95.1173,120.353,34.8004,34.9543,47.0732,30.7524,44.9827,135.109,21.4805
 1915,6.52272,9.32113,73.63,137.297,125.835,63.2482,23.6553,14.5697,29.9574,39.5108,114.615,52.0303
 1916,66.4891,27.3556,50.8488,189.117,90.409,35.3743,25.5311,35.3315,55.3854,32.8145,90.6218,73.6494
 1917,82.9051,46.9459,59.5338,217.548,113,57.207,27.6263,46.8164,27.0388,59.9601,32.6043,5.45751
 1918,17.8741,9.51685,15.6723,137.527,62.1319,31.9031,36.6333,19.8272,17.7875,42.5537,49.8393,47.1274
 1919,4.14617,36.1811,91.8985,116.457,50.7909,32.7446,44.9167,26.6055,37.6226,86.2914,62.6359,18.1169
 1920,7.68216,3.27954,110.023,146.439,79.4036,36.1257,22.9747,14.3301,24.6009,68.3224,93.9564,57.5037
 1921,25.1821,12.5556,18.6867,75.6674,95.7785,28.98,32.3136,21.8244,15.8381,45.6209,60.8317,27.4486
 1922,17.5288,36.8487,79.747,79.4642,117.782,23.2158,25.0768,44.2307,27.7108,50.6335,47.8443,52.5262
 1923,21.8643,45.4009,68.4465,182.424,142.037,39.2025,38.8165,17.9716,35.6198,78.0289,93.2566,41.7787
 1924,9.35989,34.9883,52.2813,130.722,55.2207,54.9436,22.6801,40.537,18.2625,32.6172,88.1563,40.9982
 1925,68.9383,19.1773,62.2621,33.2037,54.1717,34.4638,38.3244,28.5582,12.8076,74.8284,173.121,37.1246
 1926,15.804,23.6702,77.7201,181.874,132.217,29.0776,38.443,25.1376,61.5755,33.3345,113.195,24.0189
 1927,15.9504,14.4633,102.499,106.558,76.461,29.4872,24.6916,20.6671,17.6033,44.362,65.1288,61.206
 1928,31.4259,9.39305,32.4812,102.504,98.9085,47.3148,15.9658,21.3676,14.5454,41.7492,127.036,28.2022
 1929,18.8707,3.83164,25.1005,85.9583,51.0882,42.6768,48.2362,25.7775,45.1069,78.1474,82.9386,99.2086
 1930,54.5843,32.555,146.702,184.772,89.2654,28.9811,26.7235,23.1472,34.6324,63.0557,86.5177,63.0491
 1931,15.7114,33.7638,69.8179,123.208,91.4145,22.4816,36.1536,34.0928,37.5358,49.0895,73.7695,44.2894
 1932,25.4639,22.9866,88.3657,101.625,120.601,34.8497,34.6719,35.3647,46.0728,23.9569,60.0358,87.9
 1933,79.4053,11.8721,21.5244,58.4494,41.1156,21.0833,31.3593,42.9451,28.3867,49.4357,83.6088,67.6058
 1934,5.71495,8.12939,25.8825,104.133,112.849,53.1867,45.693,31.7611,10.9707,49.5132,39.5091,57.6394
 1935,1.86101,67.1866,31.0278,86.4289,147.362,48.7271,17.4372,38.7519,46.7818,40.259,93.8057,60.7487
 1936,54.5398,71.1991,73.7236,170.555,69.9939,69.8874,26.2498,29.9145,34.8064,54.6765,60.0484,63.2803
 1937,25.0229,18.4512,90.8451,166.723,140.926,44.22,30.391,29.2286,15.2693,92.1774,107.009,52.6432
 1938,35.6104,12.7698,51.2611,90.6968,89.4716,34.7278,40.5711,34.5007,23.1561,67.5338,67.3826,68.9252
 1939,18.5495,19.5223,37.416,120.158,86.4449,30.3633,28.7567,26.5745,16.505,40.6881,61.3589,16.5842
 1940,32.9857,59.8101,110.138,181.512,76.3831,25.5239,32.903,33.0056,14.5796,51.6286,71.9633,24.1124
 1941,12.8198,23.6194,71.2479,180.578,93.6319,49.7442,23.9766,27.5639,20.4271,64.023,109.245,95.1491
 1942,16.2784,12.694,122.272,136.456,124.399,32.1036,23.3571,35.1298,13.0698,22.2846,76.6366,25.491
 1943,11.452,38.5511,23.3454,106.143,93.7849,52.3257,30.7654,35.1698,21.0039,22.1716,43.6632,50.9902
 1944,40.0735,7.40977,49.373,125.446,72.4918,30.4578,39.0185,31.7514,39.0178,65.6033,100.512,56.2349
 1945,13.9588,17.9948,21.155,35.9688,132.741,45.2166,37.1159,44.2178,37.1258,32.5337,91.5395,31.5219
 1946,5.46274,4.19412,23.2328,122.606,81.3824,38.6147,27.9798,52.7457,59.0558,78.9242,47.3983,28.0035
 1947,45.5338,19.9834,84.2243,175.386,111.822,42.449,34.84,40.9135,44.0985,30.6686,62.2464,45.6996
 1948,8.27362,17.3624,58.3398,127.601,59.2628,39.9955,35.7171,28.8497,21.6312,78.0635,83.3957,70.1258
 1949,6.59161,13.7638,8.30897,114.329,69.2477,27.0968,36.113,28.9946,28.6309,23.1409,34.2251,61.5189
 1950,16.3721,8.73961,93.9962,134.719,86.189,29.3782,39.058,31.1221,23.4609,26.3087,52.3883,14.6262
 1951,12.0252,13.2329,92.4422,217.192,136.74,38.1791,40.0851,27.3755,19.1487,112.823,140.363,112.578
 1952,6.21634,19.4962,33.9973,133.808,105.621,19.2354,20.9183,26.7606,35.0845,33.5624,88.2056,23.965
 1953,39.6161,7.34219,37.1899,119.419,107.226,32.4058,27.8461,32.7169,22.8063,83.2923,96.8459,37.7218
 1954,10.4727,11.6896,19.1005,169.971,121.711,40.6066,35.6717,31.1632,28.6532,28.527,79.6644,33.658
 1955,33.2919,37.319,28.3415,111.487,93.4246,25.4599,28.2325,42.4887,32.873,31.7574,61.791,62.6375
 1956,84.4238,21.558,48.6631,129.313,61.4064,29.0396,23.127,34.6204,24.3044,36.729,97.3727,41.0417
 1957,53.397,13.3319,61.0147,147.238,167.816,43.9553,22.341,22.9054,20.2999,49.3146,121.011,67.519
 1958,33.3216,58.5605,51.3647,119.773,104.712,57.7729,48.23,25.4415,18.3459,26.9104,47.5226,71.4341
 1959,45.5509,27.0414,56.0039,133.609,106.394,23.2996,31.5894,30.322,22.7115,36.9701,90.2361,33.1189
 1960,26.9321,19.1184,123.195,120.169,70.3355,29.3172,23.9874,24.9643,22.975,81.7471,52.6733,36.0695
 1961,14.535,25.2117,37.1204,118.316,75.6556,32.6944,49.058,45.6287,71.1642,150.968,311.408,101.854
