Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1901,159.956,183.726,124.178,33.2001,4.31437,6.5124,0.22457,2.11902,11.7921,17.9302,94.633,218.093
 1902,202.861,87.001,158.297,25.8222,0.39555,0.63842,0.55242,0.43716,11.8398,29.4335,105.564,32.8075
 1903,188.648,24.9489,59.3446,13.4766,12.3243,0.11192,0.36847,4.41856,1.74863,28.8285,108.086,98.1634
 1904,219.787,80.674,122.554,13.7177,13.6516,5.12284,1.65793,2.16666,0.63471,42.1576,49.0339,147.353
 1905,99.1428,163.747,84.95,2.20415,7.09988,0.27039,3.40599,0.40522,1.7186,1.31941,36.1132,101.593
 1906,162.076,210.697,64.059,8.1297,2.90556,0.78184,0.76359,0.81078,7.5974,45.2783,89.4927,89.2566
 1907,133.305,272.357,66.7362,36.2342,4.30171,2.91596,7.73305,3.30998,4.20365,24.1985,123.756,172.17
 1908,115.399,140.201,49.9793,14.898,3.35176,0.41403,1.37057,1.24143,0.39457,17.8742,113.982,132.353
 1909,234.712,127.842,101.696,18.1259,4.23997,1.23802,2.53263,1.35214,3.14418,14.8835,34.685,125.832
 1910,75.826,151.766,181.743,17.7002,1.56276,4.45839,5.86921,1.09985,0.81214,47.6655,78.701,81.8404
 1911,260.803,171.223,88.2173,19.0486,30.3388,2.68851,1.19241,2.21831,2.51474,18.8604,36.5371,92.2146
 1912,182.643,72.0722,34.9081,17.6133,8.72697,2.593,4.47134,1.02788,1.51569,2.44091,13.2398,137.175
 1913,80.8332,206.916,70.2072,54.3511,14.2906,0.91875,0.05176,1.36044,4.57088,21.4531,66.4953,37.9684
 1914,131.457,199.191,32.7789,20.918,5.94395,3.11301,3.9681,5.712,0.76482,0.91342,61.015,282.086
 1915,307.845,139.441,84.1048,16.3993,7.67198,1.39146,1.08332,1.06764,13.0089,20.1628,59.207,81.8615
 1916,129.735,23.202,78.7104,15.7711,5.63992,0.68963,0.45081,1.52579,4.23372,9.48116,90.5444,214.624
 1917,96.6736,60.0125,77.2587,35.4078,12.1003,1.21975,1.14239,4.93369,2.85567,5.11989,103.843,271.03
 1918,306.178,214.485,156.667,10.522,5.13804,0.26816,1.15415,2.23359,0.45613,4.47453,90.4569,121.939
 1919,280.761,172.608,28.407,10.9286,5.43537,1.66967,0.55289,0.39018,5.78037,22.9559,77.1901,123.772
 1920,184.231,194.25,123.532,6.40553,11.3109,0.43088,0.56953,0.45062,0.34135,30.3994,39.8184,109.661
 1921,166.15,167.802,161.161,31.4432,18.5655,0.97719,1.98268,1.80188,1.43372,24.0033,112.627,132.682
 1922,28.176,83.8132,29.1436,4.48572,14.1091,0.64313,1.49422,0.25529,0.57617,49.4006,80.7764,104.465
 1923,205.736,215.742,226.927,12.4219,3.40807,0.78388,3.45669,1.80692,1.95654,4.51339,45.7496,100.745
 1924,65.6646,79.7106,107.849,4.40835,5.97373,0.86406,1.78311,1.80763,1.5379,34.2195,104.858,246.826
 1925,288.819,201.441,225.038,56.3638,25.735,0.23032,5.88102,0.14574,24.8564,21.688,30.8707,79.3762
 1926,203.768,204.807,188.776,9.28816,6.46042,2.14547,3.7482,0.30682,1.26498,4.98075,42.799,164.959
 1927,113.562,135.47,53.7181,22.4869,2.49887,1.58576,5.82294,0.61143,0.68924,37.0769,68.6614,116.471
 1928,185.402,40.6348,83.642,21.4058,1.49506,0.70234,1.97473,4.05148,4.15085,3.19506,68.5507,201.076
 1929,259.841,146.977,147.602,4.78056,4.69566,4.26666,1.39645,2.65263,0.43791,14.5621,109.785,152.743
 1930,125.656,58.6872,111.062,71.602,6.95597,2.62812,2.93981,1.48078,2.0012,2.81003,71.6674,197.332
 1931,111.991,92.5083,65.7392,24.3824,2.14321,1.81692,2.31757,0.40938,0.86631,24.4144,112.525,115.901
 1932,135.218,116.695,182.153,50.4745,12.4008,0.06262,0.28958,2.44166,2.60675,6.52512,47.4949,217.979
 1933,226.87,75.2394,12.534,11.6418,0.386,6.28415,1.12963,0.98132,1.40478,5.80778,132.988,106.419
 1934,128.323,96.7254,73.885,37.4899,4.32458,8.66818,1.16753,1.16055,3.2835,20.5729,119.674,193.732
 1935,183.684,97.5785,54.2921,8.42472,15.8877,5.18349,1.86088,5.11534,7.7401,6.37021,31.9368,69.7549
 1936,129.9,192.576,158.218,29.333,14.3933,6.28026,5.59058,3.98899,1.8315,30.9672,115.043,93.5338
 1937,117.655,207.201,59.6557,12.7081,1.98826,0.33908,1.88614,2.3677,2.50982,11.8619,30.949,164.022
 1938,224.959,57.0599,41.7772,39.5742,1.53149,3.46009,0.39923,1.11648,2.9932,22.4638,59.6835,260.379
 1939,154.554,289.85,186.372,12.0955,14.8378,8.04907,6.49063,6.36188,21.3935,24.9185,107.998,184.899
 1940,90.3594,166.349,131.887,39.9735,0.67285,13.835,4.44497,2.39368,4.00897,30.9246,79.4192,146.677
 1941,212.833,130.04,37.782,6.46265,0.81083,11.6103,0.59331,2.58883,0.86868,27.8364,68.5165,128.343
 1942,163.191,49.9726,73.2067,8.34539,11.0192,6.35534,5.57644,1.34241,5.6175,34.3545,43.7354,152.536
 1943,151.416,165.615,158.753,69.6666,5.82433,0.9347,0.87044,6.48995,2.02918,3.36664,86.2057,135.349
 1944,125.097,305.912,58.1033,15.5325,1.16621,9.68198,0.91009,0.22723,1.60935,27.5631,60.8412,46.9879
 1945,148.878,149.74,141.285,12.3466,8.3546,0.09698,2.83409,1.51812,1.15438,12.9246,65.9326,113.483
 1946,274.797,160.057,68.6902,15.8341,5.25146,3.14917,0.40997,0.67424,2.28996,4.77743,68.0979,88.7414
 1947,86.0067,54.7718,84.6803,16.2521,1.57925,3.78466,2.39742,0.05446,13.3397,24.221,79.8967,178.315
 1948,103.7,107.969,222.298,37.4377,10.6213,0.47117,3.79198,1.48456,1.14988,65.7572,102.842,51.7577
 1949,118.325,90.7538,105.291,9.27109,7.11944,8.22256,2.41897,0.5563,1.62748,6.79266,59.3418,141.089
 1950,102.636,128.099,71.9679,33.524,4.54811,1.46313,4.55784,3.289,2.2805,7.08169,52.052,185.726
 1951,152.628,23.2034,69.6464,23.7704,11.8394,3.44094,1.759,5.28442,9.94491,62.1035,80.3475,141.254
 1952,299.612,163.291,26.3493,10.5934,10.6692,10.0882,1.44215,0.78208,10.8019,19.9002,101.692,141.292
 1953,292.617,185.672,143.253,36.2811,5.6062,0.73399,1.31144,5.25324,2.63192,9.04988,110.963,125.665
 1954,166.399,143.544,45.3,10.6472,0.78172,3.93052,0.00638,1.16717,5.05166,12.1736,122.398,298.546
