Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1901,21.5681,19.1169,33.1647,44.6081,121.182,85.8012,20.4549,21.2045,52.0515,96.7426,43.4114,22.6556
 1902,16.6165,24.5227,37.2335,50.8072,83.3514,55.7603,34.1756,52.4311,51.0248,40.4121,38.497,14.0543
 1903,31.581,35.5468,26.1681,44.5778,70.3373,80.5012,67.8219,36.1012,20.7059,19.15,19.9895,24.7363
 1904,18.7863,9.73614,51.154,56.2501,123.43,68.9661,46.0371,35.4266,58.349,54.2673,53.4982,44.798
 1905,26.9249,11.5574,31.2319,52.9315,75.1988,79.3984,50.0617,63.6492,21.5283,39.1938,18.4191,39.7739
 1906,20.967,16.0029,24.0277,22.0517,95.7324,58.9818,95.2356,40.4296,27.8501,26.8997,37.8809,47.05
 1907,23.9303,22.976,37.222,38.7062,45.7831,39.4123,72.3411,31.5986,57.3666,33.595,58.2908,16.6057
 1908,32.8557,12.5901,49.056,58.8511,82.7537,70.6507,28.8403,12.0228,27.1693,30.9082,63.8217,29.6347
 1909,18.793,23.2638,35.7879,47.5002,52.2189,98.3678,25.1629,74.9711,57.4826,62.3293,23.586,12.3877
 1910,20.0587,24.4894,31.0037,59.917,102.54,51.8802,42.9578,30.0785,60.4799,14.1679,28.1631,6.8248
 1911,16.8847,16.5219,35.3225,68.9989,100.628,73.4098,25.301,35.8513,40.1802,21.547,26.3104,18.4695
 1912,13.4825,33.1951,30.8406,73.4429,106.477,66.7722,59.3271,26.6648,15.4874,86.1093,23.9793,18.7395
 1913,23.3747,28.2293,28.4788,45.1073,104.537,26.2427,36.9909,4.72275,34.3346,41.2532,31.0605,13.4565
 1914,30.2148,4.22757,34.7616,76.3119,76.258,114.667,55.31,29.8327,37.9482,52.593,49.1921,23.5628
 1915,18.3582,16.6866,66.2516,96.3462,93.3945,147.697,66.0877,44.4058,21.3203,41.0361,12.8711,11.0815
 1916,11.4952,27.5511,22.964,57.5969,122.68,48.9485,48.7388,19.7159,60.692,9.45123,23.2684,21.6366
 1917,13.5158,26.5596,24.9993,50.0382,87.0447,42.648,9.31752,59.1392,23.4585,24.4521,26.6649,11.927
 1918,13.747,21.8598,9.12535,63.8331,89.9704,107.74,34.1289,62.0307,13.4799,32.559,30.3938,27.4269
 1919,12.8543,34.2056,58.1394,81.0879,100.866,107.116,52.7548,19.1304,33.157,45.5895,39.5094,16.5246
 1920,27.0884,26.7236,43.2112,61.9444,132.886,123.841,71.4332,59.5715,104.013,76.8703,53.8228,8.57328
 1921,15.3853,21.6406,40.4981,107.599,29.7959,81.8794,55.3321,37.3293,24.8308,18.4461,54.5789,29.0929
 1922,40.7844,23.0202,16.5905,76.2619,46.5919,108.036,101.152,84.5222,53.8055,37.685,37.7955,13.6253
 1923,19.3991,19.3553,37.4507,77.7061,61.8169,83.4618,58.4289,78.3581,22.8225,30.2061,5.41376,18.2271
 1924,11.5818,34.0938,46.8929,55.5042,44.6523,69.8269,25.2497,27.197,30.2382,45.3147,27.7925,12.2738
 1925,16.2739,0.6821,28.6512,56.6696,56.4987,64.7426,30.3842,19.6472,28.7263,40.7924,13.8724,40.2162
 1926,14.323,21.752,39.1927,63.8491,104.123,81.4873,88.1706,17.4769,32.1775,13.1867,10.2141,16.0086
 1927,16.1972,32.2711,20.7936,74.5138,90.7426,63.4893,52.2785,28.6995,45.2068,18.8876,51.2,33.2541
 1928,7.07691,59.0348,37.0113,42.8962,77.4472,85.7378,43.8782,34.7151,42.5811,34.125,38.7298,30.0554
 1929,25.7263,36.689,39.8788,58.7061,103.227,61.9972,31.4193,27.0928,54.2957,26.0318,9.56221,18.6442
 1930,7.28024,42.397,23.2822,70.6534,56.5459,93.2522,36.1449,26.9455,17.4121,65.1013,33.5028,29.6673
 1931,30.9067,15.1785,37.4695,70.1185,123.021,64.3567,100.548,65.9334,21.89,19.5821,50.4467,42.3041
 1932,25.4753,44.8017,38.6894,52.1546,74.8301,37.1923,31.7302,22.4266,91.0753,5.12571,57.9461,10.3803
 1933,32.9894,18.61,43.1043,39.0031,64.2411,85.4095,44.6001,4.60806,42.6643,41.0029,40.6249,35.0444
 1934,22.9737,15.7417,21.9274,66.0738,66.9152,45.5899,67.1259,42.2511,30.3909,36.6684,25.5431,11.3788
 1935,36.8177,27.5871,47.5683,38.4179,51.2935,86.1333,32.7859,35.5989,18.4202,38.3509,54.8247,13.723
 1936,10.8908,26.5777,42.243,69.3701,147.188,109.049,105.471,11.0655,53.3515,78.6334,49.3458,15.8947
 1937,39.415,10.1279,22.8583,71.3547,145.626,95.3109,27.6485,71.7617,10.6673,34.9876,19.301,15.8995
 1938,23.94,42.1224,22.0863,61.9782,93.4174,34.7508,44.0668,40.626,71.6945,15.2568,16.1848,27.9815
 1939,9.51787,16.7137,43.857,44.2972,57.2085,91.334,90.6131,73.6318,19.7438,67.8673,65.0196,22.1466
 1940,40.2289,32.3493,33.0093,59.8318,93.01,97.8463,58.1505,4.38506,37.372,73.8957,9.43755,35.593
 1941,33.4479,25.5207,42.634,78.887,47.3851,32.0856,27.974,29.3344,28.9709,28.996,59.6561,17.5686
 1942,48.4106,21.5312,67.7299,45.6244,116.287,38.8701,33.5551,9.16696,33.7006,69.3973,67.5494,26.0096
 1943,16.9354,26.5261,43.6468,21.8319,78.0519,54.8014,48.36,48.3459,30.4889,57.886,33.4481,33.1445
 1944,29.8423,14.5231,32.3888,61.0257,100.889,73.7564,41.2526,41.8397,29.067,42.423,33.1842,11.3818
 1945,28.9209,29.5134,22.514,44.3148,79.8115,75.1857,34.5413,42.8458,25.9731,26.8726,37.4082,19.3067
 1946,28.7136,26.2428,53.3446,52.68,111.786,92.8568,55.9062,26.6471,31.6666,102.499,11.1484,30.5333
 1947,35.3385,15.8619,34.0467,77.751,97.6079,68.5368,49.1897,39.2754,59.821,33.9373,53.5711,13.5082
 1948,13.0767,30.2052,54.3584,59.1483,65.2868,85.758,17.0279,26.1285,47.5053,46.8715,36.5878,19.1064
 1949,19.548,30.1028,43.4735,43.2353,71.3839,39.9968,9.00669,72.0805,39.1215,33.2205,11.8734,24.4257
 1950,36.1293,26.5082,41.4863,17.1775,104.804,88.5747,26.8773,27.0832,11.5032,76.0173,29.5615,11.1895
 1951,33.2005,17.6565,9.11916,67.8387,76.3453,96.1136,39.9117,24.1961,83.0353,118.589,23.4938,32.0223
 1952,9.55461,38.7468,33.3575,55.4026,70.8169,98.8647,10.7708,24.5856,14.0557,15.038,16.0877,17.8474
 1953,24.4153,30.8178,54.4251,55.5244,68.7918,79.8247,64.4455,20.4011,11.9811,27.1594,74.1015,20.3693
 1954,31.4583,32.4935,50.1798,60.4749,74.5999,71.1765,50.7512,31.1348,32.2899,10.5252,30.6363,16.9938
 1955,13.2535,15.6843,63.7877,60.2114,105.817,61.8262,68.2198,41.9595,54.5605,21.1691,64.3642,23.5063
 1956,15.7081,49.6,59.2319,63.1314,97.2488,44.7571,27.5182,30.0324,71.7235,31.0542,29.2266,38.9564
 1957,35.1577,18.9585,45.2777,24.3622,74.953,88.6882,54.4622,35.6999,26.9451,20.8084,32.1352,20.576
 1958,20.0856,9.71878,42.7216,61.1462,72.2077,76.9808,67.6089,32.286,44.2064,32.3264,20.7379,31.4129
 1959,17.0058,22.0925,48.6253,30.642,126.129,96.1828,45.5184,70.8659,31.9773,57.4411,49.3481,16.0391
 1960,24.0992,35.9455,42.2589,73.6251,36.7684,87.3594,77.7979,34.3369,11.5407,27.1894,30.0043,7.00851
 1961,22.7229,18.0397,21.659,42.3464,54.0557,53.5658,28.4852,15.004,12.0601,29.1351,28.1478,13.3838
 1962,13.5288,23.9212,28.6248,95.856,46.0794,62.3439,50.5933,35.523,28.472,39.5605,29.2159,29.6999
 1963,25.1659,30.3336,45.2688,116.515,129.051,96.8852,102.219,71.2192,45.997,50.3719,32.8486,31.3136
 1964,17.2218,28.8497,52.149,48.4174,63.7809,93.6521,43.4287,34.0277,12.5957,18.2473,23.9021,13.4362
 1965,23.7036,19.4426,36.0689,52.2865,67.5225,97.2723,75.8175,27.9702,31.7994,92.9238,18.2227,16.1644
 1966,21.769,21.2327,28.8968,79.6385,121.709,48.1061,28.695,25.6549,85.1936,27.4527,8.93187,23.2852
 1967,27.7305,32.1768,40.4787,58.9453,82.2764,57.0294,56.0122,41.0654,68.8567,27.5512,55.2741,35.1517
 1968,33.7845,27.7768,31.4091,66.3703,68.309,107.084,19.0231,48.0683,32.365,37.1957,17.6016,33.4165
 1969,40.5396,27.8772,67.3831,64.574,70.0131,49.5383,26.3906,13.299,45.115,55.7722,24.061,42.4542
 1970,18.2535,21.794,31.5456,34.1099,53.6347,35.6461,39.6317,72.9256,6.76446,29.1473,20.7948,32.2498
 1971,7.65119,20.2944,31.2047,50.54,98.6406,55.3388,12.4206,43.8559,14.4265,45.9686,22.2672,34.366
 1972,25.7052,23.4955,35.7213,39.4511,144.05,84.2373,60.4468,34.8587,59.4009,38.2637,33.9314,13.7951
 1973,31.963,21.9656,56.4805,54.5165,54.9854,74.3799,57.8305,9.35296,8.0234,23.3185,61.5625,19.7172
 1974,20.4256,14.0894,54.3219,67.1657,56.8227,66.0349,62.6617,79.8984,72.4324,4.12079,30.2939,12.9164
 1975,14.0103,53.6977,25.8628,52.8341,118.238,60.5213,28.9652,20.6869,52.7533,55.5131,24.4656,20.9913
 1976,18.5365,44.3946,18.0198,69.923,132.572,79.6904,57.172,7.27532,40.4056,40.807,7.24919,22.2553
 1977,21.5069,18.2711,64.8099,50.0242,74.3656,87.3269,46.2903,35.5186,41.446,42.4191,15.9704,22.7046
 1978,40.0295,29.8418,55.2533,87.8959,100.388,102.84,5.53311,23.3007,13.0618,29.0573,25.4291,32.3063
 1979,12.1835,29.3904,34.2696,58.4041,67.6311,90.6376,35.6857,10.7812,6.40796,72.3604,37.3595,21.1684
 1980,25.6057,17.8848,38.0496,80.3579,58.2946,36.4871,36.584,34.0491,26.0919,29.0387,31.9573,9.07241
 1981,10.5737,28.5206,47.1371,71.3877,100.78,86.2459,44.7307,57.8827,12.1287,32.9617,57.3581,12.6649
