Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1950,11.0309,3.83243,8.16078,7.05962,7.4993,1.95428,1.16638,7.28183,11.7737,14.3882,2.28826,11.4673
 1951,11.2142,7.78429,9.52366,2.76354,5.93099,2.55485,1.79117,5.53877,8.19357,20.2172,12.7881,11.0113
 1952,16.0575,5.97487,3.94353,15.2816,11.4795,1.43767,3.25592,5.54964,9.99642,4.29909,6.40781,5.54239
 1953,11.5352,5.73719,20.7248,5.12909,7.64486,7.56293,2.5103,3.80582,6.71661,12.1434,9.67333,10.4004
 1954,9.91636,12.0135,9.52604,13.7935,5.23345,4.08052,2.0871,2.37192,1.00415,5.8191,10.3785,12.099
 1955,11.0547,6.54234,8.05722,12.2098,3.61746,5.02904,1.15641,3.25598,7.34609,10.7829,5.50618,13.5497
 1956,10.5888,17.1103,11.8514,6.10311,3.96665,1.20584,0.70508,5.01109,4.97477,6.43104,12.7514,5.59406
 1957,9.22815,0.74786,5.17418,16.3215,11.0035,2.54572,2.86182,5.6074,7.15588,17.2592,15.2732,21.8916
 1958,20.2028,4.75565,2.9148,5.35114,0.74419,3.74574,1.29627,4.19628,3.52231,15.8564,17.0653,11.6426
 1959,4.58805,11.13,10.1145,3.20147,8.7266,5.90098,1.31343,4.54136,6.2231,9.06296,10.1201,9.69532
 1960,15.2614,3.92375,11.7909,10.0997,8.95628,7.33156,2.06689,2.26884,2.5709,1.66052,2.24785,16.5881
 1961,17.6229,1.5257,3.98158,3.69641,1.25563,5.61612,2.60456,3.69136,1.7606,6.68129,6.46398,4.64958
 1962,5.06813,13.7751,13.9888,9.14271,5.99098,5.83038,3.30984,2.47297,4.6792,7.9232,11.6119,11.511
 1963,10.2469,10.8326,7.50128,7.81144,10.8932,5.57406,4.19923,3.7008,7.31273,4.9275,3.83187,17.2065
 1964,13.9222,6.53216,10.1932,7.51519,3.79129,2.89748,0.88909,4.38542,2.21899,7.02033,6.85554,16.1438
 1965,16.5702,8.13623,5.66988,10.0414,2.28337,3.53249,0.85376,5.24199,6.67039,6.55034,5.65865,7.42137
 1966,2.90499,2.95972,8.04373,5.41554,10.2219,1.82202,0.37104,3.70514,6.98388,13.3418,15.9073,3.72376
 1967,4.00888,12.7608,5.16781,8.09587,5.34213,3.73664,3.77671,2.49547,6.21418,5.99875,15.9147,11.038
 1968,5.38526,10.5602,10.8087,6.20543,10.9852,5.46901,0.88646,2.28994,3.31718,2.28906,6.00963,11.4768
 1969,8.95488,7.31619,8.47789,9.08359,5.28761,2.80497,2.08594,5.58676,9.65407,19.4197,8.3071,12.2309
 1970,7.95516,2.78477,7.47384,8.39979,5.6492,1.73585,2.25996,0.56884,1.87573,6.43308,3.39196,8.84219
 1971,10.5164,6.83221,10.1093,7.93417,8.80564,1.61556,2.43138,3.1665,6.2439,5.44019,18.4968,10.8294
 1972,11.7814,7.51799,12.1601,9.11638,10.1151,3.57266,0.43415,2.97222,9.00994,10.7966,6.69118,11.9859
 1973,8.04317,15.4633,10.7386,6.30622,1.08437,4.87383,1.51056,1.54273,5.59136,2.5514,6.7506,16.8117
 1974,0.98452,10.7924,21.29,11.5283,1.49544,5.33519,3.80796,1.99666,4.99058,9.82448,6.15447,1.97665
 1975,4.37783,10.488,10.2241,14.3806,13.4746,1.85943,0.77346,4.13146,4.11257,1.31392,10.7499,8.84757
 1976,12.1434,17.4579,10.5464,9.96318,14.5498,4.78041,3.64789,5.56768,9.67743,10.1707,11.9005,6.90236
 1977,15.935,2.55547,4.65261,7.85948,9.57212,1.63892,1.54759,3.14686,2.35629,6.01807,13.2508,3.99951
 1978,8.51987,8.12264,4.38692,11.022,6.52689,0.63323,1.00534,2.21217,2.50345,10.2622,4.7035,3.35994
 1979,14.5141,15.7504,8.28011,6.60658,2.78898,5.35433,1.57988,5.1626,11.9888,12.1365,6.27065,4.99377
 1980,10.0377,6.98918,14.961,9.87324,5.02061,1.12914,1.34141,4.52907,4.63466,3.44101,14.366,18.1676
 1981,3.6296,8.66454,4.84983,6.32754,3.36033,6.58278,3.79482,5.16997,3.36216,2.46681,1.6899,5.69038
 1982,9.58569,10.2897,9.49495,14.6926,9.02261,2.36921,0.51657,2.92215,3.41459,10.287,16.7241,8.44425
 1983,0.82964,9.44506,4.50997,2.46563,5.00351,3.06142,1.63723,6.22785,1.35091,2.35835,4.97432,5.28489
 1984,7.54303,7.57097,7.15123,3.12113,8.73216,1.99732,0.63954,1.57034,4.4045,13.386,9.86984,9.16956
