Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 1901,39.4423,72.6007,90.9371,145.19,119.585,73.8086,83.0512,36.2741,55.7509,70.0489,91.5435,37.546
 1902,36.0722,61.0104,43.6043,159.006,138.858,76.9807,112.332,176.175,147.862,136.043,120.242,65.8014
 1903,69.8483,28.6335,101.905,146.805,148.331,209.236,108.783,59.1576,157.198,167.683,71.2041,54.2515
 1904,28.5248,58.6563,117.46,107.43,114.153,67.8346,60.369,166.111,104.035,101.472,112.363,89.5629
 1905,44.3108,25.4385,124.059,82.1697,92.803,49.8745,98.5009,107.345,125.795,139.847,161.083,103.295
 1906,18.7348,105.692,169.455,169.138,111.46,103.153,61.655,173.922,129.021,152.635,46.4786,30.2395
 1907,30.1821,59.6989,23.0897,178.243,173.159,88.7041,98.1791,88.3598,63.0818,98.5114,111.934,46.4384
 1908,19.6133,65.2703,43.0442,155.382,165.296,95.0597,92.5819,118.901,86.8719,108.798,89.8246,53.0299
 1909,43.8018,23.2241,91.3769,219.266,81.7494,51.9278,81.0039,175.779,184.732,63.9546,69.0275,133.222
 1910,50.8148,13.6846,86.9372,144.689,157.91,94.4817,136.387,89.0177,61.198,103.976,103.687,55.2701
 1911,39.8577,18.4194,145.944,138.004,153.458,69.682,44.0108,146.508,62.0314,104.129,166.569,20.6717
 1912,32.9353,87.5476,87.5693,165.467,119.315,101.598,96.9671,144.354,102.426,104.384,122.951,52.8688
 1913,7.36378,85.4079,94.0087,154.848,146.288,84.7514,73.3783,67.3209,53.0955,110.18,67.9931,38.4399
 1914,48.1363,56.6493,111.511,106.8,140.367,106.312,104.682,120.797,143.234,107.583,156.872,34.1522
 1915,32.5126,67.442,128.065,138.641,132.667,108.991,44.6346,83.9477,159.268,153.196,98.6944,102.799
 1916,21.0956,83.7316,85.0476,179.704,178.402,101.866,55.5259,116.378,172.943,96.092,77.1356,73.4339
 1917,63.8984,107.147,40.1072,199.942,162.031,110.891,59.3004,141.8,164.972,163.756,29.6566,33.3935
 1918,24.5559,19.1319,48.1175,120.775,102.751,82.4729,70.8044,80.279,84.7179,76.9602,102.246,43.3871
 1919,17.2253,88.7889,120.238,114.009,140.601,76.7463,138.486,106.004,146.97,108.06,149.452,39.4383
 1920,22.3859,18.9456,134.34,173.518,169.228,101.373,75.7058,93.9623,92.1263,117.98,120.006,55.1996
 1921,21.846,56.0368,47.7146,102.5,129.604,79.5498,100.009,114.255,77.6969,112.777,67.1146,34.7066
 1922,20.4113,59.8296,132.569,132.663,187.27,61.1058,63.6754,171.239,99.2314,110.147,47.6757,48.1859
 1923,8.1107,90.791,102.231,182.106,191.278,69.9022,127.257,85.168,139.677,144.64,82.4301,72.795
 1924,22.6522,69.6604,74.4848,168.287,130.599,45.1444,88.5334,153.16,114.308,137.168,83.5396,36.8089
 1925,50.6898,37.7945,128.733,84.0084,110.853,103.82,82.2236,99.3179,73.7596,128.379,171.311,53.498
 1926,36.0375,77.2261,94.0263,185.009,129.755,73.5962,112.14,110.662,164.788,119.812,115.064,19.4791
 1927,46.9106,77.7422,99.5342,145.402,91.7291,58.3073,74.3765,87.6862,100.893,47.6889,86.6171,58.1453
 1928,25.0277,25.9463,69.3215,168.321,185.348,102.179,78.0282,112.008,93.2877,139.077,91.332,37.4278
 1929,22.7498,25.0602,79.4729,154.642,119.955,90.5411,104.291,97.5024,98.2199,115.66,81.0279,108.291
 1930,55.4965,46.102,127.469,199.68,140.74,100.596,64.0477,95.5061,112.824,138.433,65.4423,37.7636
 1931,36.3233,43.5554,149.124,146.285,154.502,68.056,131.021,126.427,119.703,92.8513,84.5858,56.8938
 1932,19.7218,39.5038,161.104,106.127,166.587,54.5003,90.5762,103.42,147.766,86.9144,87.4496,59.3673
 1933,61.5746,66.8719,80.5441,112.228,133.498,69.7815,75.6579,150.542,120.707,112.833,50.285,65.498
 1934,9.02154,22.602,76.2882,174.253,124.476,78.6244,109.912,147.997,65.5273,110.295,88.974,78.3754
 1935,8.92322,94.1926,74.8771,137.422,196.191,146.705,36.5894,89.2737,130.453,125.223,78.2969,84.2012
 1936,73.5323,104.088,109.246,174.208,84.9787,137.591,71.4337,92.3519,125.538,87.4841,50.7181,88.5199
 1937,29.2336,88.9312,122.343,162.238,181.866,114.139,97.5006,83.7821,93.8074,127.159,154.694,39.3668
 1938,24.6261,27.5098,82.8821,131.261,131.018,94.6551,103.26,122.218,127.4,120.722,56.6254,47.6523
 1939,25.5896,74.9654,85.6877,140.57,103.124,69.5139,95.6522,110.957,86.2209,95.3914,105.241,26.5188
 1940,66.5491,109.121,127.715,157.036,136.977,58.3685,106.467,133.035,72.7108,79.7924,134.908,32.0065
 1941,27.2644,60.8076,92.3412,175.489,171.764,124.339,59.9231,136.338,85.1739,104.336,169.262,123.005
 1942,59.4602,44.773,168.061,191.069,202.136,71.8616,62.3728,177.082,83.3636,59.9471,45.5899,44.6694
 1943,17.6652,70.2466,53.3619,148.518,132.866,122.592,69.8034,146.278,83.5371,73.4043,29.2208,32.3163
 1944,39.1009,37.6212,116.826,155.947,147.19,66.2525,87.0388,138.568,144.376,124.449,118.894,65.3949
 1945,32.1781,26.5855,64.5239,70.7489,223.86,105.676,103.472,167.631,141.016,97.7514,106.587,29.7858
 1946,15.1518,10.6566,58.577,191.866,152.78,113.056,115.778,190.36,121.348,127.043,102.467,51.268
 1947,75.5841,63.0383,120.498,227.016,164.834,100.49,142.551,105.87,141.381,57.1591,44.0165,63.7742
 1948,34.3281,48.8741,82.1455,145.929,144.366,120.212,118.986,136.998,132.35,130.836,78.063,34.7719
 1949,11.599,30.3757,38.5059,152.184,133.386,82.3283,119.9,133.605,134.861,99.1986,54.0073,82.3911
 1950,34.3797,34.4262,115.878,159.993,140.804,93.7979,110.482,134.3,114.15,114.579,35.7395,37.3508
 1951,37.0766,61.6459,125.466,190.426,150.439,96.0933,81.696,108.419,91.494,166.834,178.672,144.507
 1952,17.9538,55.4014,121.672,164.997,161.354,46.6104,73.9224,125.36,125.191,109.196,81.8329,10.6802
 1953,35.7172,35.3971,71.873,178.451,110.98,121.328,68.5767,103.178,97.7403,153.183,108.914,40.9121
 1954,14.8079,45.5215,65.4411,156.521,188.425,108.104,107.017,115.067,136.87,105.511,56.9079,70.1289
 1955,70.123,57.274,75.115,156.06,130.376,64.2309,102.007,164.028,150.968,101.651,81.691,97.1213
 1956,47.2082,53.7469,94.4857,189.443,143.223,70.3513,66.5237,152.022,109.859,126.643,69.9429,63.0562
 1957,67.0154,33.6035,106.249,194.929,172.823,119.709,63.6443,106.887,62.8209,102.177,98.2432,82.8466
